模型,样本索引,真实标签,预测标签,预测概率
决策树,355,0,0,0.0
决策树,356,0,0,0.0
决策树,357,0,0,0.0
决策树,358,0,0,0.0
决策树,359,0,0,0.0
决策树,360,0,0,0.0
决策树,361,0,0,0.0
决策树,362,0,0,0.0
决策树,363,0,0,0.0
决策树,364,0,0,0.0
决策树,365,0,1,1.0
决策树,366,0,1,0.8333333333333334
决策树,367,0,0,0.42857142857142855
决策树,368,0,1,0.6363636363636364
决策树,369,1,1,0.6666666666666666
决策树,370,0,0,0.0
决策树,371,0,0,0.0
决策树,372,0,1,1.0
决策树,373,0,0,0.0
决策树,374,0,1,1.0
决策树,375,0,0,0.16666666666666666
决策树,376,0,0,0.0
决策树,377,0,1,0.6666666666666666
决策树,378,0,1,0.7903225806451613
决策树,379,0,0,0.0
决策树,380,0,0,0.0
决策树,381,0,0,0.0
决策树,382,0,1,1.0
决策树,383,0,0,0.0
决策树,384,0,0,0.0
决策树,385,0,0,0.5
决策树,386,0,1,1.0
决策树,387,0,1,1.0
决策树,388,0,1,1.0
决策树,389,0,1,0.5121951219512195
决策树,390,0,0,0.0
决策树,391,0,1,1.0
决策树,392,0,0,0.1
决策树,393,0,0,0.0
决策树,394,1,1,0.7903225806451613
决策树,395,1,0,0.0
决策树,396,0,0,0.0
决策树,397,0,0,0.42857142857142855
决策树,398,0,1,0.6666666666666666
决策树,399,0,0,0.0
决策树,400,0,0,0.0
决策树,401,0,0,0.0
决策树,402,0,0,0.0
决策树,403,0,0,0.0
决策树,404,0,1,1.0
决策树,405,0,0,0.0
决策树,406,0,0,0.5
决策树,407,0,0,0.0
决策树,408,0,0,0.0
决策树,409,0,0,0.0
决策树,410,0,1,0.7903225806451613
决策树,411,0,1,1.0
决策树,412,0,0,0.0
决策树,413,0,0,0.0
决策树,414,0,0,0.0
决策树,415,0,1,0.7142857142857143
决策树,416,0,0,0.0
决策树,417,0,0,0.0
决策树,418,0,0,0.0
决策树,419,0,0,0.16666666666666666
决策树,420,0,0,0.0
决策树,421,0,1,1.0
决策树,422,0,0,0.0
决策树,423,0,0,0.0
决策树,424,1,0,0.0
决策树,425,0,0,0.0
决策树,426,0,0,0.0
决策树,427,0,0,0.0
决策树,428,1,0,0.16666666666666666
决策树,429,0,0,0.0
决策树,430,0,1,1.0
决策树,431,0,0,0.0
决策树,432,0,0,0.0
决策树,433,0,0,0.21739130434782608
决策树,434,0,0,0.0
决策树,435,0,0,0.0
决策树,436,0,0,0.0
决策树,437,0,0,0.0
决策树,438,0,0,0.16666666666666666
决策树,439,0,0,0.0
决策树,440,0,0,0.0
决策树,441,0,1,0.625
决策树,442,0,1,0.8888888888888888
决策树,443,0,0,0.0
决策树,444,0,1,0.6666666666666666
决策树,445,0,0,0.14285714285714285
决策树,446,0,0,0.0
决策树,447,0,0,0.16666666666666666
决策树,448,0,0,0.16666666666666666
决策树,449,1,1,0.85
决策树,450,0,0,0.0
决策树,451,0,0,0.0
决策树,452,0,0,0.3
决策树,453,0,0,0.36363636363636365
决策树,454,0,0,0.4222222222222222
决策树,455,0,0,0.0
决策树,456,0,0,0.0
决策树,457,0,1,0.8333333333333334
决策树,458,0,1,1.0
决策树,459,0,1,1.0
决策树,460,0,0,0.0
决策树,461,0,0,0.0
决策树,462,0,0,0.0
决策树,463,0,1,0.5121951219512195
决策树,464,0,0,0.0
决策树,465,0,0,0.25
决策树,466,0,0,0.0
决策树,467,0,0,0.0
决策树,468,0,0,0.0
决策树,469,0,0,0.1111111111111111
决策树,470,0,1,0.5714285714285714
决策树,471,0,0,0.0
决策树,472,0,0,0.0
决策树,473,0,1,0.8888888888888888
决策树,474,0,0,0.16666666666666666
决策树,475,1,1,0.9105691056910569
决策树,476,0,0,0.0
决策树,477,0,0,0.0
决策树,478,0,0,0.14285714285714285
决策树,479,0,0,0.0
决策树,480,1,0,0.5
决策树,481,0,1,1.0
决策树,482,0,0,0.0
决策树,483,0,0,0.0
决策树,484,0,0,0.0
决策树,485,0,1,1.0
决策树,486,1,1,1.0
决策树,487,0,0,0.0
决策树,488,0,0,0.0
决策树,489,0,0,0.14285714285714285
决策树,490,1,1,0.9105691056910569
决策树,491,0,0,0.0
决策树,492,0,0,0.0
决策树,493,0,0,0.0
决策树,494,0,1,0.8333333333333334
决策树,495,0,0,0.0
决策树,496,0,0,0.2
决策树,497,0,0,0.0
决策树,498,1,0,0.0
决策树,499,0,1,1.0
决策树,500,0,0,0.3333333333333333
决策树,501,1,0,0.0
决策树,502,0,0,0.0
决策树,503,0,0,0.0
决策树,504,0,0,0.0
决策树,505,0,0,0.0
决策树,506,1,0,0.0
决策树,507,1,0,0.0
决策树,508,0,0,0.0
决策树,509,1,0,0.0
决策树,510,0,1,1.0
决策树,511,0,1,1.0
决策树,512,0,0,0.16666666666666666
决策树,513,0,0,0.0
决策树,514,0,1,1.0
决策树,515,0,0,0.0
决策树,516,1,0,0.5
决策树,517,0,1,0.8333333333333334
决策树,518,0,0,0.0
决策树,519,0,0,0.0
决策树,520,0,0,0.0
决策树,521,0,0,0.375
决策树,522,0,0,0.16666666666666666
决策树,523,0,0,0.0
决策树,524,0,1,1.0
决策树,525,0,1,1.0
决策树,526,0,0,0.0
决策树,527,0,0,0.0
决策树,528,0,1,0.6666666666666666
决策树,529,0,0,0.0
决策树,530,0,0,0.25
决策树,531,0,0,0.0
决策树,532,0,1,0.5714285714285714
决策树,533,0,0,0.3333333333333333
决策树,534,0,0,0.0
决策树,535,0,0,0.0
决策树,536,0,0,0.0
决策树,537,0,0,0.0
决策树,538,0,0,0.0
决策树,539,0,0,0.0
决策树,540,0,0,0.0
决策树,541,0,0,0.0
决策树,542,0,0,0.0
决策树,543,0,0,0.0
决策树,544,1,0,0.16666666666666666
决策树,545,0,0,0.0
决策树,546,0,0,0.0
决策树,547,0,0,0.0
决策树,548,0,0,0.0
决策树,549,0,1,1.0
决策树,550,0,0,0.0
决策树,551,0,0,0.16666666666666666
决策树,552,0,1,0.9158415841584159
决策树,553,0,0,0.0
决策树,554,0,0,0.2222222222222222
决策树,555,0,1,0.7903225806451613
决策树,556,0,1,0.7903225806451613
决策树,557,1,1,1.0
决策树,558,0,0,0.1
决策树,559,0,0,0.14285714285714285
决策树,560,0,0,0.0
决策树,561,0,0,0.0
决策树,562,0,0,0.0
决策树,563,0,1,0.8763636363636363
决策树,564,0,0,0.0
决策树,565,0,0,0.0
决策树,566,0,0,0.0
决策树,567,1,1,1.0
决策树,568,0,0,0.0
决策树,569,1,0,0.3333333333333333
决策树,570,0,1,1.0
决策树,571,0,0,0.0
决策树,572,0,1,0.8333333333333334
决策树,573,0,0,0.0
决策树,574,0,0,0.0
决策树,575,0,0,0.0
决策树,576,0,0,0.0
决策树,577,0,0,0.3333333333333333
决策树,578,0,0,0.16666666666666666
决策树,579,0,0,0.16666666666666666
决策树,580,0,0,0.0
决策树,581,0,1,1.0
决策树,582,0,0,0.0
决策树,583,0,0,0.0
决策树,584,0,0,0.0
决策树,585,0,0,0.16666666666666666
决策树,586,0,0,0.16666666666666666
决策树,587,0,1,1.0
决策树,588,0,0,0.0
决策树,589,0,0,0.5
决策树,590,0,0,0.0
决策树,591,0,0,0.16666666666666666
决策树,592,0,1,0.8888888888888888
决策树,593,0,0,0.0
决策树,594,0,0,0.0
决策树,595,0,0,0.0
决策树,596,0,0,0.0
决策树,597,0,1,1.0
决策树,598,0,0,0.0
决策树,599,0,0,0.0
决策树,600,0,0,0.0
决策树,601,0,0,0.125
决策树,602,0,0,0.0
决策树,603,0,0,0.16666666666666666
决策树,604,0,0,0.0
决策树,605,0,0,0.0
决策树,606,0,0,0.023255813953488372
决策树,607,0,0,0.2727272727272727
决策树,608,0,1,0.875
决策树,609,0,0,0.16666666666666666
决策树,610,0,0,0.0
决策树,611,0,0,0.14285714285714285
决策树,612,0,0,0.5
决策树,613,0,0,0.0
决策树,614,0,0,0.0
决策树,615,0,0,0.0
决策树,616,0,0,0.16666666666666666
决策树,617,0,1,0.6666666666666666
决策树,618,0,0,0.5
决策树,619,0,1,1.0
决策树,620,0,0,0.0
决策树,621,1,0,0.5
决策树,622,0,1,0.8333333333333334
决策树,623,0,0,0.0
决策树,624,0,1,1.0
决策树,625,0,1,0.8333333333333334
决策树,626,0,0,0.0
决策树,627,0,0,0.0
决策树,628,0,0,0.16666666666666666
决策树,629,0,1,0.7903225806451613
决策树,630,0,0,0.21739130434782608
决策树,631,0,1,1.0
决策树,632,1,0,0.5
决策树,633,0,0,0.0
决策树,634,0,0,0.0
决策树,635,0,1,1.0
决策树,636,0,0,0.0
决策树,637,1,0,0.16666666666666666
决策树,638,0,0,0.36363636363636365
决策树,639,0,0,0.0
决策树,640,0,0,0.0
决策树,641,0,0,0.14285714285714285
决策树,642,0,1,0.8333333333333334
决策树,643,0,0,0.0
决策树,644,0,0,0.0
决策树,645,0,1,0.8333333333333334
决策树,646,1,0,0.0
决策树,647,0,0,0.0
决策树,648,0,1,0.625
决策树,649,0,0,0.0
决策树,650,0,1,0.9334763948497854
决策树,651,0,0,0.2222222222222222
决策树,652,0,0,0.0
决策树,653,0,0,0.3333333333333333
决策树,654,0,1,1.0
决策树,655,0,0,0.0
决策树,656,0,0,0.0
决策树,657,0,1,1.0
决策树,658,0,0,0.0
决策树,659,0,0,0.5
决策树,660,0,0,0.0
决策树,661,0,0,0.3333333333333333
决策树,662,1,1,1.0
决策树,663,0,0,0.16666666666666666
决策树,664,0,0,0.0
决策树,665,0,1,0.8333333333333334
决策树,666,1,0,0.0
决策树,667,0,0,0.0
决策树,668,0,0,0.0
决策树,669,0,0,0.0
决策树,670,0,1,1.0
决策树,671,0,0,0.0
决策树,672,0,0,0.14285714285714285
决策树,673,1,1,0.8333333333333334
决策树,674,0,0,0.0
决策树,675,1,0,0.0
决策树,676,0,0,0.0
决策树,677,0,0,0.0
决策树,678,1,0,0.0
决策树,679,0,0,0.0
决策树,680,0,0,0.0
决策树,681,0,1,0.5121951219512195
决策树,682,0,1,0.6666666666666666
决策树,683,0,0,0.0
决策树,684,0,0,0.0
决策树,685,0,0,0.0
决策树,686,0,0,0.0
决策树,687,0,0,0.0
决策树,688,0,0,0.0
决策树,689,1,0,0.5
决策树,690,0,0,0.5
决策树,691,0,1,0.7903225806451613
决策树,692,0,0,0.0
决策树,693,0,1,0.8333333333333334
决策树,694,0,0,0.0
决策树,695,0,0,0.0
决策树,696,0,1,1.0
决策树,697,0,0,0.16666666666666666
决策树,698,0,1,0.625
决策树,699,0,0,0.0
决策树,700,0,0,0.2222222222222222
决策树,701,0,1,0.7903225806451613
决策树,702,0,0,0.0
决策树,703,0,0,0.4
决策树,704,0,0,0.0
决策树,705,0,0,0.0
决策树,706,0,0,0.0
决策树,707,0,0,0.0
决策树,708,0,1,0.8333333333333334
决策树,709,0,0,0.0
决策树,710,0,0,0.375
决策树,711,0,0,0.0
决策树,712,0,0,0.16666666666666666
决策树,713,0,0,0.0
决策树,714,0,0,0.0
决策树,715,0,0,0.0
决策树,716,0,0,0.0
决策树,717,1,0,0.0
决策树,718,0,0,0.0
决策树,719,0,0,0.0
决策树,720,0,0,0.0
决策树,721,0,0,0.0
决策树,722,1,0,0.0
决策树,723,1,0,0.0
决策树,724,0,0,0.0
决策树,725,0,1,0.5454545454545454
决策树,726,1,0,0.0
决策树,727,0,0,0.0
决策树,728,0,0,0.0
决策树,729,0,0,0.0
决策树,730,0,0,0.0
决策树,731,0,0,0.0
决策树,732,1,0,0.0
决策树,733,0,0,0.0
决策树,734,0,0,0.14285714285714285
决策树,735,0,0,0.3333333333333333
决策树,736,1,0,0.0
决策树,737,0,0,0.0
决策树,738,1,0,0.0
决策树,739,0,0,0.0
决策树,740,0,0,0.09090909090909091
决策树,741,0,0,0.0
决策树,742,0,0,0.0
决策树,743,0,0,0.0
决策树,744,0,0,0.0
决策树,745,0,0,0.0
决策树,746,0,0,0.0
决策树,747,0,0,0.0
决策树,748,0,0,0.0
决策树,749,0,0,0.0
决策树,750,0,0,0.0
决策树,751,0,0,0.0
决策树,752,0,0,0.5
决策树,753,0,0,0.14285714285714285
决策树,754,0,1,1.0
决策树,755,0,0,0.5
决策树,756,0,1,1.0
决策树,757,0,0,0.0
决策树,758,0,0,0.0
决策树,759,0,0,0.0
决策树,760,0,0,0.4
决策树,761,0,0,0.1111111111111111
决策树,762,0,0,0.0
决策树,763,1,1,1.0
决策树,764,0,1,0.8571428571428571
决策树,765,1,1,1.0
决策树,766,0,0,0.0
决策树,767,1,1,1.0
决策树,768,0,0,0.5
决策树,769,0,0,0.0
决策树,770,0,0,0.0
决策树,771,0,1,0.7903225806451613
决策树,772,0,0,0.0
决策树,773,0,0,0.0
决策树,774,0,0,0.16666666666666666
决策树,775,0,0,0.0
决策树,776,0,1,0.5714285714285714
决策树,777,0,0,0.0
决策树,778,0,0,0.45454545454545453
决策树,779,0,0,0.1111111111111111
决策树,780,0,1,1.0
决策树,781,0,0,0.0
决策树,782,0,0,0.4444444444444444
决策树,783,0,1,1.0
决策树,784,0,0,0.0
决策树,785,0,0,0.0
决策树,786,0,0,0.0
决策树,787,0,0,0.0
决策树,788,0,0,0.0
决策树,789,0,0,0.375
决策树,790,1,0,0.0
决策树,791,0,0,0.0
决策树,792,0,0,0.3333333333333333
决策树,793,1,0,0.0
决策树,794,0,0,0.375
决策树,795,0,0,0.0
决策树,796,0,0,0.0
决策树,797,0,0,0.0
决策树,798,0,0,0.0
决策树,799,0,0,0.0
决策树,800,0,0,0.0
决策树,801,1,1,1.0
决策树,802,1,1,0.7903225806451613
决策树,803,0,0,0.0
决策树,804,0,0,0.2222222222222222
决策树,805,1,1,0.6666666666666666
决策树,806,0,0,0.0
决策树,807,0,1,1.0
决策树,808,1,0,0.0
决策树,809,0,1,0.6666666666666666
决策树,810,0,0,0.5
决策树,811,0,0,0.16666666666666666
决策树,812,0,1,0.9105691056910569
决策树,813,0,0,0.0
决策树,814,0,0,0.0
决策树,815,0,1,1.0
决策树,816,0,1,1.0
决策树,817,0,1,1.0
决策树,818,1,0,0.09090909090909091
决策树,819,0,1,0.8333333333333334
决策树,820,0,0,0.0
决策树,821,0,0,0.2222222222222222
决策树,822,0,1,1.0
决策树,823,0,0,0.4
决策树,824,0,0,0.0
决策树,825,0,1,1.0
决策树,826,1,1,1.0
决策树,827,0,0,0.0
决策树,828,0,0,0.0
决策树,829,0,0,0.0
决策树,830,0,1,0.7903225806451613
决策树,831,0,0,0.0
决策树,832,0,0,0.0
决策树,833,0,1,0.5714285714285714
决策树,834,0,1,1.0
决策树,835,0,0,0.375
决策树,836,0,0,0.0
决策树,837,0,1,1.0
决策树,838,0,1,0.5555555555555556
决策树,839,0,0,0.0
决策树,840,0,0,0.0
决策树,841,1,0,0.3333333333333333
决策树,842,0,0,0.5
决策树,843,0,0,0.0
决策树,844,0,0,0.0
决策树,845,0,0,0.0
决策树,846,0,1,1.0
决策树,847,0,0,0.0
决策树,848,0,1,0.8333333333333334
决策树,849,0,0,0.14285714285714285
决策树,850,0,1,1.0
决策树,851,0,0,0.0
决策树,852,1,0,0.0
决策树,853,0,0,0.375
决策树,854,0,0,0.16666666666666666
决策树,855,0,0,0.0
决策树,856,0,1,1.0
决策树,857,0,0,0.0
决策树,858,0,0,0.0
决策树,859,0,0,0.2222222222222222
决策树,860,0,0,0.0
决策树,861,0,1,0.8653846153846154
决策树,862,0,0,0.0
决策树,863,0,1,0.9158415841584159
决策树,864,1,0,0.0
决策树,865,0,0,0.0
决策树,866,0,0,0.0
决策树,867,0,1,0.875
决策树,868,0,1,0.8888888888888888
决策树,869,0,1,1.0
决策树,870,0,0,0.0
决策树,871,0,0,0.0
决策树,872,0,0,0.0
决策树,873,0,1,1.0
决策树,874,0,0,0.0
决策树,875,0,1,0.7142857142857143
决策树,876,0,1,0.7142857142857143
决策树,877,0,0,0.5
决策树,878,0,0,0.0
决策树,879,0,0,0.0
决策树,880,0,1,1.0
决策树,881,1,1,0.875
决策树,882,0,0,0.0
决策树,883,1,0,0.0
决策树,884,0,0,0.0
决策树,885,0,0,0.0
决策树,886,0,0,0.0
决策树,887,0,0,0.0
决策树,888,0,0,0.0
决策树,889,0,1,1.0
决策树,890,0,0,0.5
决策树,891,0,0,0.0
决策树,892,1,1,0.7903225806451613
决策树,893,0,1,0.7903225806451613
决策树,894,0,0,0.0
决策树,895,0,0,0.0
决策树,896,0,0,0.1111111111111111
决策树,897,0,0,0.0
决策树,898,0,1,1.0
决策树,899,1,0,0.0
决策树,900,0,1,0.7903225806451613
决策树,901,0,0,0.0
决策树,902,0,0,0.0
决策树,903,0,0,0.3333333333333333
决策树,904,0,0,0.0
决策树,905,0,1,1.0
决策树,906,0,0,0.375
决策树,907,1,0,0.0
决策树,908,1,0,0.0
决策树,909,0,1,0.8333333333333334
决策树,910,0,1,0.9701492537313433
决策树,911,0,0,0.0
决策树,912,0,1,1.0
决策树,913,0,0,0.0
决策树,914,0,1,0.7903225806451613
决策树,915,0,0,0.16666666666666666
