证券代码,时间,舞弊标签,流动比率,速动比率,资产负债率,权益乘数,总资产净利润率(ROA)A,净资产收益率（ROE）A,营业净利率,营业毛利率,总资产周转率A,应收账款周转率A,存货周转率A,异常经营活动现金流量,现金比率,营业收入增长率A,净利润增长率A,总资产增长率A,无形资产比率,固定资产比率,管理费用率,财务费用率
700,2014,0,0.666453,0.502542,0.64609,2.825579,0.063341,0.178974,0.073287,0.233956,0.864286,7.532361,6.971766,0.0499,0.106117,-0.047707,-0.294035,0.010479,0.014996,0.214772,0.103843,0.020235
705,2014,0,2.05784,1.50055,0.321773,1.474433,0.022641,0.033382,0.019609,0.154584,1.154599,5.415871,5.6199,0.0342,0.613318,0.0607,-1.04215,0.033741,0.021214,0.215167,0.059201,-0.002769
733,2014,0,2.659419,1.957563,0.322552,1.476128,0.025349,0.037418,0.032036,0.205929,0.791257,4.931914,3.611084,-0.0499,0.622368,0.289277,-0.051798,0.185579,0.02886,0.181834,0.112981,0.007466
735,2014,0,2.306087,1.40632,0.57368,2.345655,0.012852,0.030147,0.054306,0.147722,0.236662,16.272086,1.524188,-0.0435,0.91273,-0.266185,-1.083202,-0.011964,0.094073,0.225575,0.165958,0.023883
738,2014,0,3.247082,2.554769,0.281929,1.392619,0.029041,0.040443,0.073441,0.215234,0.395433,2.82007,2.363147,-0.0018,0.794929,0.13119,-0.410062,0.007125,0.062943,0.241164,0.119152,0.009399
739,2014,0,0.938815,0.703586,0.544443,2.195114,0.064545,0.141685,0.077188,0.26021,0.836214,5.812591,5.351656,0.0941,0.165421,-0.202602,0.069918,0.0857,0.082785,0.355524,0.119027,0.016156
756,2014,0,0.913387,0.545583,0.549634,2.220419,0.016097,0.035742,0.019036,0.2047,0.845612,11.507469,4.848,0.0159,0.175777,0.201192,1.007413,0.058757,0.073722,0.465459,0.07395,0.02008
758,2014,0,1.075406,0.767772,0.667121,3.004096,0.016697,0.05016,0.01756,0.090236,0.950876,7.030168,5.057422,-0.0325,0.174566,0.418128,2.388132,0.115931,0.069336,0.149243,0.029336,0.022171
768,2014,0,1.369977,0.69447,0.620594,2.635696,0.011033,0.02908,0.017721,0.097092,0.622614,2.568106,1.417754,-0.0746,0.138731,0.454153,1.680291,0.060292,0.015007,0.147971,0.051106,0.008385
777,2014,0,2.217275,1.280331,0.390611,1.640988,0.039021,0.064033,0.068321,0.240134,0.571145,3.112337,1.689736,-0.0393,0.343047,-0.152437,0.373868,-0.004987,0.042464,0.239251,0.122109,0.008639
789,2014,0,0.950505,0.818127,0.5243,2.102164,0.099135,0.208397,0.131086,0.272392,0.756258,12.032765,11.847593,0.085,0.34313,0.276694,0.366926,0.126301,0.070252,0.519898,0.045661,0.028873
801,2014,0,1.612062,1.425671,0.482847,1.933666,0.026146,0.050557,0.034918,0.204883,0.748763,2.258416,6.829778,-0.0029,0.31986,0.132428,1.496253,-0.062533,0.00549,0.070972,0.094378,0.006393
810,2014,0,2.261032,2.106554,0.48494,1.941522,0.098473,0.191188,0.109952,0.222445,0.895605,1.701212,10.781256,-0.0879,0.578018,-0.516084,-0.6123,0.159974,0.010904,0.009239,0.050523,-0.004521
811,2014,0,1.174284,0.739465,0.412951,1.703436,0.078056,0.132963,0.134652,0.274158,0.579683,4.311975,2.512189,0.0275,0.311409,0.533947,2.243482,0.141518,0.044515,0.102001,0.091955,0.005707
812,2014,0,1.674294,1.047708,0.38732,1.632175,0.05666,0.092478,0.169523,0.333773,0.334228,10.325651,1.061134,0.0173,0.74447,-0.160598,0.260824,0.153487,0.084559,0.299736,0.155536,-0.004261
821,2014,0,1.687715,1.138133,0.394635,1.651895,0.011322,0.018703,0.023787,0.20067,0.475981,3.603104,2.148457,-0.0275,0.167205,0.05186,0.626634,0.030117,0.031827,0.285261,0.119783,0.022411
823,2014,0,1.882522,1.511703,0.33981,1.514716,0.041277,0.062522,0.049413,0.195796,0.835341,4.257278,5.902614,-0.0027,0.467733,-0.05552,-0.279059,0.199463,0.012506,0.345109,0.091987,0.00878
852,2014,0,1.420832,0.82682,0.465307,1.870233,0.027062,0.050612,0.037471,0.223613,0.722205,2.669283,2.040265,0.0276,0.047755,0.284081,0.70422,-0.01899,0.018407,0.312364,0.111328,0.018516
859,2014,0,2.233035,1.885361,0.275241,1.379769,0.003259,0.004496,0.004761,0.088869,0.684414,7.089043,7.7087,-0.0671,0.627104,0.008951,0.988075,0.341202,0.026078,0.333715,0.074231,0.008368
868,2014,0,1.08674,0.971334,0.711928,3.471356,0.009483,0.032917,0.009717,0.082774,0.975859,5.153947,11.896832,-0.0393,0.427376,0.034817,0.448077,0.116676,0.050873,0.140118,0.057062,0.001529
880,2014,0,0.63996,0.39267,0.643916,2.808326,0.0132,0.037069,0.015159,0.117536,0.87074,16.145095,5.032935,0.0603,0.128149,-0.223898,-0.090891,0.218721,0.049324,0.375502,0.068595,-0.004181
887,2014,0,1.748515,1.120615,0.433492,1.765201,0.1083,0.191171,0.116595,0.296702,0.928854,4.097317,3.171539,0.0495,0.20113,-0.256811,-0.28183,0.310166,0.043977,0.248419,0.076469,0.011795
903,2014,0,2.079531,1.636049,0.449199,1.815539,0.024098,0.043751,0.063995,0.193631,0.376563,4.53363,2.41952,-0.0412,0.659368,0.822551,2.160228,0.161549,0.068739,0.288213,0.079181,0.025406
910,2014,0,1.008606,0.53838,0.623737,2.657715,0.033455,0.088915,0.032461,0.262554,1.030622,10.06768,2.603814,0.0418,0.235628,0.035509,0.432823,-0.064942,0.10043,0.236063,0.076118,0.024592
917,2014,1,1.350021,0.894159,0.359324,1.560851,0.024546,0.038312,0.070732,0.322872,0.347029,18.246966,2.16549,-0.1026,0.414443,0.097121,-1.025625,-0.068936,0.050844,0.373666,0.16616,0.030138
919,2014,0,2.625837,2.133989,0.240527,1.316702,0.067683,0.089118,0.088444,0.242272,0.765261,6.958612,5.111054,0.0194,0.851749,0.050606,-0.197248,0.09618,0.035028,0.281572,0.097336,-0.004519
926,2014,0,1.71633,0.770893,0.720614,3.579271,0.024818,0.088831,0.106819,0.186446,0.23234,15.546608,0.456832,-0.001,0.044623,0.323285,-0.639992,0.061517,0.002266,0.060319,0.028977,0.03738
936,2014,0,1.6006,1.095,0.32066,1.472016,0.019124,0.028151,0.032192,0.063836,0.594054,11.827913,4.05853,-0.133,0.379679,-0.04799,0.810049,0.218306,0.006186,0.120743,0.01115,0.015814
949,2014,0,0.886484,0.415454,0.460909,1.854975,0.020266,0.037592,0.031878,0.162189,0.635736,18.804251,2.823408,0.0603,0.226343,-0.030177,-0.439139,0.037394,0.01468,0.478237,0.048236,0.044157
967,2014,0,1.51115,1.321415,0.425011,1.739162,0.027055,0.047054,0.022747,0.111467,1.189399,3.317356,14.060396,-0.0258,0.072038,0.067601,1.790904,0.035654,0.02874,0.142488,0.049182,0.022609
970,2014,0,4.156715,3.150206,0.188772,1.232699,0.064097,0.079012,0.088865,0.235853,0.721284,4.124524,3.042399,0.0068,1.639691,-0.035647,-0.084743,-0.003623,0.012205,0.161207,0.088821,0.002633
973,2014,0,1.686385,0.711782,0.570254,2.326953,0.021406,0.049811,0.040863,0.161621,0.523851,12.423287,1.763748,-0.0323,0.213548,0.129335,-0.418217,0.021133,0.052157,0.2328,0.090563,0.035294
980,2014,0,2.541385,1.802962,0.303187,1.435106,0.014462,0.020754,0.037853,0.182711,0.382049,2.064195,1.41413,-0.1514,0.726071,0.526949,1.542692,0.03537,0.035472,0.173365,0.085598,0.00431
988,2014,0,1.651901,1.242761,0.384425,1.624498,0.03599,0.058466,0.07174,0.256269,0.501675,2.559781,2.437878,0.0029,0.475497,-0.087162,-0.790801,0.124127,0.053096,0.229544,0.10856,0.018466
989,2014,0,2.309603,1.881929,0.251309,1.335664,0.114428,0.152837,0.175006,0.546899,0.653853,13.601574,2.976942,-0.0001,0.93056,0.16132,1.941821,0.136563,0.05736,0.360883,0.084081,-0.001299
997,2014,0,1.680282,0.846749,0.503598,2.014495,0.081658,0.1645,0.135586,0.402856,0.60226,4.825866,0.856755,-0.003,0.267011,0.098432,0.786745,0.00489,0.007246,0.043217,0.147531,-0.001444
1696,2014,0,3.09001,2.843449,0.363326,1.570661,0.073377,0.115251,0.095766,0.187393,0.766216,7.293388,11.403584,0.015,0.482071,-0.043245,-0.128814,0.187186,0.037296,0.101066,0.048732,0.016307
2001,2014,0,2.705237,2.068227,0.23111,1.300577,0.088564,0.115185,0.194044,0.399753,0.456414,4.992629,2.012364,0.0639,1.337703,0.260429,-0.419044,0.066374,0.044569,0.296989,0.104261,0.014441
2002,2014,0,0.518535,0.46058,0.709393,3.441078,0.035587,0.122458,0.104499,0.238446,0.340548,7.204788,9.175094,-0.0718,0.196357,0.216612,-0.314113,0.383129,0.015853,0.374297,0.038305,0.043271
2003,2014,0,2.893579,2.272048,0.151311,1.178287,0.109981,0.129589,0.126786,0.396643,0.867455,10.218862,5.587139,0.103,1.283975,-0.172838,-0.54322,0.028208,0.078848,0.450297,0.1216,0.001095
2008,2014,0,1.750183,1.207985,0.399683,1.665787,0.099594,0.165903,0.128772,0.39605,0.773414,3.325193,2.330304,0.0933,0.332965,-0.340405,-0.368939,0.08395,0.026242,0.176192,0.139923,0.018867
2009,2014,1,1.2601,0.933062,0.589513,2.436133,0.023919,0.05827,0.052276,0.214605,0.457552,1.918716,1.931514,0.0218,0.160295,0.252137,-0.901938,-0.007175,0.057469,0.157945,0.11034,0.035345
2010,2014,0,2.217059,1.876439,0.505613,2.022708,0.065768,0.13303,0.057221,0.223202,1.149366,7.962204,8.718341,0.0055,0.38687,-0.065871,-0.485225,0.10349,0.063594,0.1783,0.067194,0.012854
2012,2014,0,2.333451,1.625945,0.215853,1.275271,0.031492,0.040161,0.05354,0.279856,0.58819,4.513031,2.943061,0.0318,0.27118,-0.095304,0.222581,-0.039174,0.027031,0.431398,0.133629,0.011398
2013,2014,0,1.293044,0.976776,0.680465,3.129543,0.022812,0.071392,0.05049,0.235803,0.451818,1.624034,2.118119,-0.0168,0.190895,0.918763,2.236742,0.134792,0.045133,0.163664,0.126433,0.039117
2014,2014,0,3.384575,2.63272,0.206241,1.259829,0.078067,0.098351,0.091992,0.188357,0.848631,6.079172,4.985347,0.0291,1.239867,0.055073,0.368542,0.037573,0.028805,0.272912,0.045543,-0.004484
2017,2014,0,1.748315,1.087394,0.519783,2.082392,0.037236,0.07754,0.045599,0.241727,0.816586,6.993121,2.18577,0.0687,0.715863,0.269177,0.987859,0.110403,0.003119,0.156618,0.113002,0.00903
2028,2014,0,2.721681,2.273085,0.306745,1.442472,0.09272,0.133747,0.137252,0.372548,0.675548,1.945547,3.153641,-0.0421,0.416053,0.448335,-0.20276,0.085201,0.035159,0.108663,0.12661,-0.001022
2029,2014,0,2.642021,2.266449,0.293625,1.415679,0.042567,0.060261,0.123123,0.447407,0.345726,8.112139,1.779068,0.0699,0.760636,-0.067082,-0.220631,0.009966,0.011848,0.058573,0.100391,-0.027784
2030,2014,0,1.62563,1.404469,0.424825,1.7386,0.099749,0.173424,0.146039,0.418799,0.683032,1.972138,4.445111,-0.0276,0.235432,0.226929,0.515095,0.363131,0.032123,0.139982,0.154731,0.015849
2042,2014,0,1.167647,0.589196,0.608436,2.553864,0.01886,0.048167,0.027251,0.133623,0.692109,9.130943,2.126711,-0.0427,0.108146,-0.5353,-1.496713,0.119018,0.048541,0.352974,0.052311,0.034013
2044,2014,0,1.76377,1.437393,0.344484,1.525517,0.065964,0.10063,0.064789,0.200619,1.018146,12.430587,8.703484,0.01,0.866918,-0.301919,-0.800124,-0.123623,0.051712,0.159967,0.072098,0.011635
2045,2014,0,1.379051,1.063965,0.487681,1.951909,0.035335,0.068971,0.045038,0.217946,0.784566,3.549749,5.01681,0.0155,0.280449,0.029593,0.176212,-0.019052,0.092506,0.250025,0.094827,0.013763
2048,2014,0,1.44135,1.030571,0.435189,1.770503,0.084008,0.148736,0.082858,0.205456,1.013883,6.174485,5.6403,0.0014,0.313416,0.351269,-0.333493,0.215297,0.023231,0.182225,0.083681,0.003543
2050,2014,0,1.397888,1.043557,0.494156,1.976896,0.06962,0.137632,0.083927,0.277443,0.829534,6.25167,3.658331,0.0427,0.11415,-0.088999,-0.467672,0.065595,0.05301,0.277436,0.10418,0.020346
2051,2014,0,1.271122,1.124351,0.679364,3.118799,0.043191,0.134705,0.081101,0.174368,0.532562,2.582424,4.487245,0.029,0.746997,0.537466,-0.658591,0.08467,0.013544,0.066295,0.030956,-0.01784
2054,2014,0,2.005142,1.650865,0.307856,1.444785,0.04392,0.063455,0.092816,0.356474,0.473196,4.162299,4.454599,0.022,0.396577,0.107766,-0.29725,0.149072,0.028848,0.200816,0.134628,0.024468
2055,2014,0,1.271796,0.968483,0.576913,2.363578,0.025963,0.061366,0.033321,0.189753,0.779184,3.122754,3.760128,-0.0253,0.09423,0.074256,-1.269763,0.151174,0.027744,0.203961,0.081402,0.026983
2056,2014,0,3.076732,2.488636,0.310448,1.450218,0.07975,0.115654,0.103966,0.248361,0.767074,6.19518,5.600146,0.1128,0.618623,0.060337,0.300904,0.089055,0.053208,0.36008,0.098294,0.008775
2065,2014,0,4.053711,3.225276,0.205575,1.258772,0.131073,0.164991,0.200853,0.352871,0.652584,1.751659,2.812724,-0.0818,0.757415,0.752279,1.417658,0.318545,0.021459,0.067101,0.096718,0.00149
2066,2014,0,1.008367,0.693322,0.709461,3.441877,0.01475,0.050768,0.022997,0.241202,0.641382,2.391242,2.37041,0.0024,0.031808,0.029308,0.346204,0.054434,0.063352,0.247262,0.091105,0.049709
2076,2014,0,2.162885,1.452385,0.313759,1.457215,0.027368,0.039881,0.037878,0.248513,0.722518,3.053877,2.618304,-0.0548,0.444183,-0.009069,0.702444,0.076227,0.039149,0.229212,0.098884,-0.003655
2080,2014,0,1.051804,0.833443,0.659113,2.933528,0.021446,0.062914,0.039046,0.211233,0.549263,3.141988,3.428268,0.0151,0.102488,0.278599,1.119103,0.240649,0.045351,0.274634,0.099267,0.019097
2084,2014,0,1.309649,0.800509,0.509862,2.040243,0.026161,0.053375,0.026726,0.254017,0.978845,4.558371,3.062314,0.0466,0.212762,0.07463,0.185995,0.020955,0.039069,0.293597,0.136954,0.017894
2088,2014,0,2.6788,2.114842,0.205105,1.258028,0.039778,0.050041,0.066642,0.293874,0.596889,2.288615,3.79869,-0.0043,0.21292,0.116579,0.184513,0.037883,0.067886,0.356394,0.072382,0.009672
2094,2014,0,1.760876,1.373578,0.484528,1.93997,0.040073,0.07774,0.040204,0.148318,0.99672,4.716846,6.784822,-0.0276,0.380125,-0.230066,-0.940731,0.098046,0.010244,0.142354,0.048981,0.017953
2098,2014,0,0.878922,0.542272,0.501184,2.004748,0.05678,0.11383,0.074513,0.299887,0.762016,4.489543,3.188067,0.0592,0.153947,0.064539,-0.188206,0.045217,0.05857,0.41911,0.101431,0.03126
2101,2014,0,1.172028,0.838143,0.471359,1.891642,0.046207,0.087408,0.053252,0.227216,0.867702,3.329773,4.543365,0.015,0.1461,-0.065704,-0.453833,0.065749,0.043284,0.34266,0.061599,0.013208
2103,2014,0,1.622124,1.183375,0.359593,1.561506,0.008257,0.012893,0.010647,0.194147,0.775509,5.78833,3.985911,-0.0596,0.328625,0.028199,-1.083744,-0.001041,0.08604,0.27011,0.083704,0.00671
2108,2014,0,1.996098,1.735829,0.354125,1.548286,0.067201,0.104047,0.081001,0.201467,0.829641,4.165866,8.377306,0.0293,0.534006,-0.089552,0.012455,0.17376,0.03512,0.251394,0.026281,0.019566
2111,2014,0,1.45066,0.934576,0.499516,1.998066,0.044345,0.088603,0.109464,0.347243,0.405108,1.919259,1.096388,-0.0118,0.181524,0.475079,0.454802,0.197531,0.057862,0.186826,0.122182,0.024652
2117,2014,0,2.366795,2.050955,0.248698,1.331023,0.10195,0.135698,0.167387,0.406961,0.609069,10.047765,4.839326,0.1338,0.578647,0.202334,0.121355,0.144392,0.050326,0.352444,0.139138,-0.001966
2119,2014,0,1.048949,0.680319,0.517071,2.070698,0.004857,0.010056,0.005733,0.125915,0.847164,5.158551,4.100044,0.1075,0.09609,0.140502,-1.012701,-0.029275,0.069818,0.322388,0.075648,0.030107
2120,2014,0,1.708752,1.23279,0.246388,1.326942,0.126282,0.167569,0.110169,0.21112,1.146259,5.561928,7.714067,0.0426,0.288476,0.036849,0.392742,-0.054211,0.04105,0.331435,0.088954,-0.001548
2122,2014,0,2.554945,1.471413,0.336168,1.506405,0.004713,0.007099,0.016234,0.152855,0.290283,2.054828,0.939696,-0.0035,0.116817,-0.023789,0.342316,-0.008733,0.047681,0.282993,0.114829,0.030603
2126,2014,0,1.444434,1.081663,0.534978,2.150434,0.046427,0.099839,0.067583,0.270231,0.686965,3.611109,3.703433,0.0086,0.203375,0.03775,0.447766,0.114772,0.062152,0.250649,0.117375,0.017115
2130,2014,0,0.703241,0.531195,0.5491,2.217789,0.051205,0.113562,0.083559,0.290044,0.612802,3.363075,4.830486,-0.0407,0.060377,0.188182,1.29858,0.415575,0.055008,0.280148,0.071179,0.02963
2138,2014,0,1.771592,1.379577,0.230533,1.299601,0.076701,0.09968,0.181412,0.364039,0.422797,3.01689,3.690581,0.0717,0.226657,-0.150137,-0.227249,0.272715,0.032008,0.454091,0.114013,0.01197
2139,2014,0,1.568126,1.27213,0.432069,1.760776,0.064476,0.113527,0.056854,0.209221,1.134059,3.550592,7.098188,0.0523,0.312579,0.198027,-0.355247,0.097691,0.073103,0.168369,0.091308,0.000324
2144,2014,0,1.834651,1.670876,0.215098,1.274045,0.053586,0.068271,0.215413,0.284937,0.248759,5.319362,6.726916,0.0187,0.215597,-0.143358,0.104633,0.005465,0.021521,0.119006,0.1066,-0.017563
2145,2014,0,0.658471,0.477077,0.592381,2.453274,0.008894,0.021819,0.019923,0.249679,0.446428,5.616862,3.276711,-0.0976,0.103152,0.26088,-1.259352,0.292769,0.04956,0.364714,0.114245,0.048014
2150,2014,0,1.8599,1.389815,0.337644,1.509763,0.067979,0.102632,0.061306,0.220049,1.108843,4.68609,5.465706,0.0389,0.485047,0.1477,-0.058651,-0.010333,0.05311,0.305065,0.075194,0.002279
2154,2014,0,2.439768,1.145073,0.373062,1.595055,0.030851,0.049208,0.058987,0.578596,0.523006,4.450064,0.833302,0.0293,0.249454,0.136729,-0.879079,-0.051766,0.022942,0.20291,0.134336,0.007268
2156,2014,0,1.131125,0.897674,0.40216,1.672688,0.030549,0.0511,0.057792,0.190767,0.528611,5.214249,6.167962,0.0758,0.36964,-0.043501,-0.052379,0.072938,0.023929,0.58616,0.135463,0.016053
2160,2014,0,0.690462,0.446742,0.683788,3.162433,0.007503,0.023727,0.009888,0.140024,0.758732,5.933842,3.96238,-0.0014,0.131822,0.052487,-0.540463,0.269427,0.052796,0.298071,0.053422,0.036157
2161,2014,0,3.957837,3.199073,0.132332,1.152515,0.027379,0.031555,0.073557,0.313272,0.37222,1.790044,2.906001,-0.0171,1.058119,0.384888,0.63236,0.094869,0.081876,0.151395,0.169616,0.003546
2165,2014,0,1.372395,1.019716,0.419675,1.723172,0.056046,0.096577,0.046964,0.175004,1.193394,6.8427,7.181586,0.0501,0.147905,-0.071149,-0.490457,-0.026639,0.047276,0.395393,0.058436,0.012572
2178,2014,0,1.979095,1.298718,0.412339,1.701661,0.045527,0.077472,0.075019,0.227846,0.606875,5.567063,1.685699,0.0,0.961927,0.214225,1.053426,0.133226,0.000152,0.095437,0.113103,0.000597
2179,2014,0,2.32692,1.892254,0.473781,1.900349,0.060003,0.114027,0.107248,0.328135,0.559482,2.15154,2.71197,-0.0157,0.568404,0.176394,0.038214,0.171802,0.037336,0.187903,0.125632,0.010522
2182,2014,0,0.874785,0.545379,0.593255,2.458544,0.006683,0.016429,0.005651,0.099724,1.182496,8.429689,5.886302,0.0857,0.085293,0.027394,-1.131972,-0.012285,0.065673,0.422799,0.045465,0.023385
2184,2014,0,1.847682,1.44189,0.428429,1.749564,0.042282,0.073975,0.042399,0.206658,0.997246,2.831178,4.611669,-0.0452,0.148358,0.2886,0.402964,0.210129,0.021962,0.156065,0.091394,0.007987
2185,2014,0,1.264088,1.00418,0.392776,1.646839,0.073539,0.121106,0.092506,0.218889,0.794959,7.292821,7.745757,0.0957,0.324963,-0.071774,-0.113744,0.168317,0.038638,0.460154,0.106526,0.008571
